City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Faanui,-16.48,-151.75,79.72,77,96,13.85,PF,1603735801
Cape Town,-33.93,18.42,70.0,72,0,12.75,ZA,1603735802
Tadpatri,14.92,78.02,77.88,68,1,4.41,IN,1603735803
Asău,46.43,26.4,53.01,98,50,1.81,RO,1603735804
Sos'va,59.18,61.86,26.38,97,100,14.74,RU,1603735805
Khatanga,71.97,102.5,2.1,94,88,8.97,RU,1603735807
La Rioja,42.25,-2.5,54.0,62,75,8.05,ES,1603735808
Yueyang,29.33,113.09,62.42,64,66,1.03,CN,1603735809
Kapaa,22.08,-159.32,73.4,88,40,5.82,US,1603735810
Mabaruma,8.2,-59.78,79.79,91,97,3.44,GY,1603735811
Sørland,67.67,12.69,46.4,93,75,21.92,NO,1603735812
Iracoubo,5.48,-53.2,85.66,67,3,11.5,GF,1603735816
Nome,64.5,-165.41,35.6,74,90,9.17,US,1603735817
Coquimbo,-29.95,-71.34,59.0,77,75,18.34,CL,1603735818
Lively,46.43,-81.15,35.01,97,90,4.7,CA,1603735819
Rosarito,32.33,-117.03,66.2,63,75,8.05,MX,1603735823
Richards Bay,-28.78,32.04,69.91,84,82,8.79,ZA,1603735824
Kahului,20.89,-156.47,75.99,69,20,3.36,US,1603735635
Sumbe,-11.21,13.84,76.08,85,94,9.08,AO,1603735826
Chimoio,-19.12,33.48,78.8,50,20,11.41,MZ,1603735827
Ust-Tsilma,65.44,52.15,15.46,96,58,2.44,RU,1603735830
West Bay,19.37,-81.42,86.0,79,20,11.41,KY,1603735831
Marrakesh,31.63,-8.01,75.2,33,20,5.82,MA,1603735805
Clyde River,70.47,-68.59,14.0,72,90,9.17,CA,1603735833
Arraial do Cabo,-22.97,-42.03,78.8,69,20,9.17,BR,1603735834
Boli,45.77,130.52,41.43,68,100,4.05,CN,1603735627
Urusha,54.05,122.9,31.3,99,100,8.59,RU,1603735837
Praia da Vitória,38.73,-27.07,75.2,64,20,10.96,PT,1603735839
Ribeira Grande,38.52,-28.7,69.8,83,40,17.22,PT,1603735840
Muros,42.78,-9.06,54.0,90,89,1.01,ES,1603735841
Ternate,0.8,127.4,81.09,75,99,2.19,ID,1603735842
Chimbote,-9.09,-78.58,69.46,68,65,10.98,PE,1603735843
Bredasdorp,-34.53,20.04,64.4,82,98,16.11,ZA,1603735844
Kaitangata,-46.28,169.85,48.0,85,91,8.01,NZ,1603735846
Bathsheba,13.22,-59.52,87.8,70,40,12.75,BB,1603735848
Olafsvik,64.89,-23.71,40.95,77,76,16.22,IS,1603735849
Pangnirtung,66.15,-65.71,21.2,79,75,5.82,CA,1603735850
Saint-Augustin,51.23,-58.65,38.53,60,88,11.54,CA,1603735851
Lagoa,39.05,-27.98,67.71,87,6,24.4,PT,1603735852
Rocha,-34.48,-54.33,58.8,84,100,16.82,UY,1603735854
Atotonilco el Grande,20.28,-98.67,72.5,20,45,4.9,MX,1603735855
Zhoukou,33.63,114.63,61.34,49,90,3.04,CN,1603735856
Mar del Plata,-38.0,-57.56,66.2,32,0,6.93,AR,1603735857
Mahébourg,-20.41,57.7,73.4,78,40,11.41,MU,1603735858
Marzuq,14.4,46.47,66.72,32,0,4.0,YE,1603735859
Beringovskiy,63.05,179.32,30.45,92,0,2.28,RU,1603735861
Thompson,55.74,-97.86,24.8,62,75,11.41,CA,1603735862
Jinji,23.23,110.83,70.45,81,36,2.37,CN,1603735863
Torbay,47.67,-52.73,43.0,48,75,14.99,CA,1603735865
Vila Franca do Campo,37.72,-25.43,69.8,83,40,18.34,PT,1603735866
Pitimbu,-7.47,-34.81,86.0,62,40,11.41,BR,1603735868
Provideniya,64.38,-173.3,28.83,92,31,2.82,RU,1603735869
Saldanha,-33.01,17.94,66.2,59,99,5.82,ZA,1603735870
Novopokrovka,49.84,36.55,48.2,70,0,8.95,UA,1603735871
Carnarvon,-24.87,113.63,69.8,88,0,20.8,AU,1603735873
Flin Flon,54.77,-101.86,21.2,62,20,8.05,CA,1603735875
Palmer,42.16,-72.33,48.99,87,90,4.7,US,1603735876
Balikpapan,-1.27,116.83,75.88,90,94,4.47,ID,1603735614
Elizabeth City,36.29,-76.25,69.01,88,90,11.41,US,1603735841
Hokitika,-42.72,170.97,53.6,93,100,4.65,NZ,1603735880
Hobyo,5.35,48.53,79.72,79,7,8.14,SO,1603735882
Kavieng,-2.57,150.8,82.54,68,79,6.78,PG,1603735883
Fortuna,40.6,-124.16,61.0,28,1,6.93,US,1603735884
Hirara,24.8,125.28,76.28,70,53,15.97,JP,1603735885
Mossamedes,-15.2,12.15,69.69,78,83,6.58,AO,1603735886
Havelock,34.88,-76.9,70.0,88,90,12.75,US,1603735715
San Patricio,28.02,-97.52,87.01,62,75,20.8,US,1603735889
Bagdarin,54.43,113.6,16.93,86,0,6.55,RU,1603735890
Norman Wells,65.28,-126.83,23.0,79,75,14.99,CA,1603735891
Talnakh,69.49,88.4,8.6,92,40,4.47,RU,1603735892
São Filipe,14.9,-24.5,83.08,66,100,12.39,CV,1603735893
Kutum,14.2,24.67,77.7,19,85,13.2,SD,1603735895
Samarai,-10.62,150.67,81.3,83,95,7.63,PG,1603735897
Hambantota,6.12,81.12,79.18,84,35,8.88,LK,1603735898
Giyani,-23.3,30.72,80.08,33,0,3.89,ZA,1603735899
Santa Cruz de la Sierra,-17.8,-63.17,77.0,69,75,17.22,BO,1603735900
Maxixe,-23.86,35.35,77.0,83,20,3.36,MZ,1603735901
Rawson,-43.3,-65.1,73.58,24,44,18.43,AR,1603735877
Beaverlodge,55.22,-119.44,30.2,100,90,5.82,CA,1603735903
Loukhi,66.08,33.04,44.69,94,100,13.76,RU,1603735905
Upernavik,72.79,-56.15,17.06,81,91,5.26,GL,1603735693
Necochea,-38.55,-58.74,63.12,48,0,9.28,AR,1603735907
Volgo-Kaspiyskiy,46.2,47.92,48.2,61,0,2.24,RU,1603735908
Zima,53.92,102.04,27.03,88,98,4.85,RU,1603735909
Terrace Bay,48.78,-87.1,28.4,54,90,4.7,CA,1603735910
Uyuni,-20.46,-66.83,66.54,18,0,16.71,BO,1603735911
Alamosa,37.47,-105.87,19.4,85,90,12.75,US,1603735912
Copacabana,6.35,-75.51,69.8,56,40,6.93,CO,1603735913
Vestmannaeyjar,63.44,-20.27,42.8,81,40,23.04,IS,1603735915
Vejle,55.71,9.54,50.0,87,73,6.93,DK,1603735916
Beloha,-25.17,45.05,70.36,82,0,7.2,MG,1603735917
Airai,-8.93,125.41,61.3,100,92,1.86,TL,1603735918
Podporozh'ye,60.91,34.17,41.85,93,100,8.32,RU,1603735919
Petatlán,17.52,-101.27,91.4,63,40,6.93,MX,1603735920
Gamba,-2.65,10.0,76.86,86,100,7.14,GA,1603735922
Atasū,48.68,71.64,50.58,47,75,21.12,KZ,1603735923
Itatiaia,-22.5,-44.56,78.46,66,15,5.5,BR,1603735924
Belyy Yar,53.6,91.39,41.0,86,40,8.95,RU,1603735925
Colorado Springs,38.83,-104.82,10.0,78,90,8.05,US,1603735875
Noumea,-22.28,166.46,68.0,82,0,2.24,NC,1603735902
Mount Gambier,-37.83,140.77,48.2,81,40,12.75,AU,1603735928
Klaksvík,62.23,-6.59,41.0,75,25,9.17,FO,1603735930
Butembo,0.15,29.28,59.79,91,100,2.24,CD,1603735932
Sangar,63.92,127.47,18.36,97,100,2.19,RU,1603735934
Yerbogachën,61.28,108.01,20.37,90,73,1.32,RU,1603735935
La Sarre,48.8,-79.2,29.35,97,100,8.72,CA,1603735713
Sri Aman,1.24,111.46,71.6,100,100,2.24,MY,1603735773
Berdigestyakh,62.1,126.7,16.41,95,100,6.62,RU,1603735941
Viedma,-40.81,-63.0,81.0,17,0,8.99,AR,1603735942
Bras-Panon,-21.0,55.68,73.4,83,73,6.93,RE,1603735943
Laguna,38.42,-121.42,63.0,14,1,18.34,US,1603735658
Gigmoto,13.78,124.39,78.73,86,100,7.87,PH,1603735946
Phan Thiet,10.93,108.1,76.73,89,100,3.56,VN,1603735947
Vanavara,60.34,102.28,23.0,93,100,2.33,RU,1603735948
Shilong,23.11,113.84,78.01,73,0,6.71,CN,1603735949
Ukiah,39.15,-123.21,68.0,13,1,3.36,US,1603735950
Kimbe,-5.55,150.14,76.1,87,99,2.37,PG,1603735806
Ciudad Guayana,8.35,-62.65,86.72,66,47,5.14,VE,1603735953
Zarechnyy,53.2,45.19,37.0,65,0,3.56,RU,1603735955
Fairbanks,64.84,-147.72,28.99,100,90,4.7,US,1603735905
Darhan,49.49,105.92,28.67,75,31,4.45,MN,1603735957
Cabo San Lucas,22.89,-109.91,90.0,45,5,5.82,MX,1603735958
Visby,57.64,18.3,53.01,93,90,10.29,SE,1603735960
Hīt,33.64,42.83,67.62,24,0,2.24,IQ,1603735961
Paithan,19.48,75.38,74.53,73,38,6.42,IN,1603735962
Morondava,-20.28,44.28,78.51,75,0,13.15,MG,1603735964
Seoul,37.57,126.98,46.4,100,1,1.68,KR,1603735665
Lanzhou,36.06,103.79,43.0,66,100,4.14,CN,1603735961
La Santisima Trinidad,-14.83,-64.9,95.0,53,40,13.87,BO,1603735967
Tarko-Sale,64.92,77.78,6.8,95,20,12.12,RU,1603735968
Quatre Cocos,-20.21,57.76,73.99,78,40,11.41,MU,1603735969
Bambous Virieux,-20.34,57.76,73.99,78,40,11.41,MU,1603735971
Nkhotakota,-12.93,34.3,79.43,65,20,6.08,MW,1603735973
Iranshahr,27.2,60.68,68.0,13,0,4.7,IR,1603735974
Guerrero Negro,27.98,-114.06,72.99,54,46,16.91,MX,1603735975
Turaif,31.67,38.66,73.4,23,0,13.87,SA,1603735976
Malindi,-3.22,40.12,80.6,78,20,13.87,KE,1603735977
Lompoc,34.64,-120.46,66.2,72,1,4.7,US,1603735978
Chiang Klang,19.29,100.86,73.35,82,84,0.74,TH,1603735979
Ekhabi,53.51,142.97,39.43,84,99,11.43,RU,1603735981
Tayshet,55.93,98.0,31.59,99,99,6.62,RU,1603735982
Tasiilaq,65.61,-37.64,33.8,47,100,16.11,GL,1603735983
Ahipara,-35.17,173.17,58.57,94,17,4.03,NZ,1603735984
Saint Paul Harbor,57.79,-152.41,46.4,49,1,12.75,US,1603735985
Semey,50.41,80.23,46.44,53,100,21.39,KZ,1603735986
Yumen,40.28,97.2,31.86,74,100,3.67,CN,1603735988
Bima,-8.47,118.72,77.27,83,87,3.58,ID,1603735989
Selma,36.57,-119.61,59.0,58,40,8.05,US,1603735775
Kyren,51.68,102.14,25.97,85,38,3.27,RU,1603735991
Mahajanga,-15.72,46.32,80.6,69,20,5.82,MG,1603735993
Eyl,7.98,49.82,78.78,79,96,9.86,SO,1603735994
Yeppoon,-23.13,150.73,69.8,94,100,2.24,AU,1603735995
Myitkyina,25.38,97.4,71.69,84,0,1.72,MM,1603735997
Biak,-0.91,122.88,77.34,78,100,4.47,ID,1603735998
Toppenish,46.38,-120.31,35.01,50,1,0.89,US,1603735999
Hualmay,-11.1,-77.61,70.25,66,70,10.65,PE,1603736000
Ballina,-28.87,153.57,68.0,77,90,12.75,AU,1603736002
Los Llanos de Aridane,28.66,-17.92,73.4,60,75,12.75,ES,1603736004
Annau,37.89,58.52,62.6,29,100,4.7,TM,1603736005
Coyhaique,-45.58,-72.07,53.6,54,75,12.75,CL,1603736006
Arman',59.7,150.17,32.34,87,100,13.11,RU,1603736007
Camacha,33.08,-16.33,68.0,64,20,10.29,PT,1603736008
Grado,43.39,-6.07,57.99,62,20,13.87,ES,1603736009
Verkhnyaya Toyma,62.23,45.0,25.39,97,67,4.45,RU,1603736010
Moree,-29.47,149.85,57.2,87,39,9.08,AU,1603736011
Shimoda,34.67,138.95,54.0,92,11,7.23,JP,1603736013
Tianpeng,30.99,103.94,69.01,1,100,4.25,CN,1603736014
Castelo do Piauí,-5.32,-41.55,99.23,28,68,3.31,BR,1603736015
Pisco,-13.7,-76.22,70.0,77,0,11.41,PE,1603735791
Weligama,5.97,80.42,78.04,89,2,6.33,LK,1603736017
Kajaani,64.23,27.73,48.2,93,90,12.75,FI,1603736019
São Gabriel da Cachoeira,-0.13,-67.09,95.59,43,99,3.06,BR,1603736021
Najrān,17.49,44.13,71.6,18,0,4.7,SA,1603736022
Kailua,21.4,-157.74,77.0,88,40,2.68,US,1603735921
Cherskiy,68.75,161.3,5.32,92,19,5.5,RU,1603736024
Sovetskiy,61.36,63.58,26.04,95,100,13.49,RU,1603736025
Hefei,31.86,117.28,62.01,87,0,4.47,CN,1603736029
Kargasok,59.06,80.86,30.15,98,100,13.89,RU,1603736030
Kloulklubed,7.04,134.26,77.0,88,75,6.71,PW,1603736031
Robertsport,6.75,-11.37,81.12,81,77,10.92,LR,1603736032
Birobidzhan,48.8,132.95,35.37,85,22,3.47,RU,1603736033
Gawler,-34.6,138.73,53.01,83,95,7.38,AU,1603735987
Touros,-5.2,-35.46,86.0,62,40,13.87,BR,1603736035
Saint-Pierre,-21.34,55.48,73.4,78,0,3.36,RE,1603736036
Karratha,-20.74,116.85,71.29,76,49,13.65,AU,1603736038
San Cristobal,7.77,-72.22,89.6,52,40,11.41,VE,1603736039
Oranjemund,-28.55,16.43,59.36,86,1,12.48,NA,1603736040
Sakakah,29.97,40.21,80.6,8,0,10.29,SA,1603736041
Pombal,-6.77,-37.8,100.6,19,0,8.57,BR,1603736042
Sabaudia,41.3,13.03,66.99,83,23,4.0,IT,1603736043
Hamilton,39.18,-84.53,51.8,81,90,6.15,US,1603736045
Aswān,24.09,32.91,83.32,27,0,9.57,EG,1603736046
Skjervøy,70.03,20.97,33.8,80,0,17.22,NO,1603736047
Broken Hill,-31.95,141.43,50.0,93,11,3.36,AU,1603735851
Tabou,4.42,-7.35,78.85,87,72,7.58,CI,1603736049
Havre-St-Pierre,50.23,-63.6,35.6,59,90,10.29,CA,1603736050
Requena,39.49,-1.1,51.01,51,0,11.43,ES,1603736051
Khandyga,62.67,135.6,12.51,87,93,2.06,RU,1603736053
Chitral,35.85,71.79,54.66,35,0,1.68,PK,1603736054
Cravo Norte,6.3,-70.2,88.68,63,81,7.83,CO,1603736056
Kangaatsiaq,68.31,-53.46,24.44,90,100,9.33,GL,1603736058
Mildura,-34.2,142.15,55.4,82,90,8.05,AU,1603736059
Shenjiamen,29.96,122.3,64.74,70,1,6.53,CN,1603736061
Godda,24.83,87.22,70.03,52,20,3.44,IN,1603736062
Big Spring,32.25,-101.48,32.0,85,90,17.22,US,1603736063
Tortolì,39.93,9.66,68.0,68,40,23.04,IT,1603736064
Constitución,-35.33,-72.42,59.61,55,65,18.9,CL,1603736065
Teknāf,20.86,92.31,78.12,85,31,4.59,BD,1603736068
São José da Coroa Grande,-8.9,-35.15,81.36,70,22,16.28,BR,1603736069
Leer,8.3,30.14,74.93,84,99,2.51,SS,1603736070
Sambava,-14.27,50.17,73.76,81,4,8.72,MG,1603736071
Nishihara,26.18,127.76,71.6,68,20,3.36,JP,1603736072
Barranca,-10.75,-77.77,69.08,68,77,11.3,PE,1603736073
Vostok,46.49,135.88,27.86,99,0,3.36,RU,1603736065
Walvis Bay,-22.96,14.51,60.8,77,2,8.05,NA,1603736076
Yuanping,38.72,112.76,47.21,47,24,6.93,CN,1603736077
Meulaboh,4.14,96.13,77.38,86,98,4.36,ID,1603736078
Alyangula,-13.85,136.42,77.0,88,100,1.12,AU,1603736080
Honiara,-9.43,159.95,75.2,94,20,2.24,SB,1603736081
Cururupu,-1.83,-44.87,89.91,53,46,7.74,BR,1603736082
Maglavit,44.03,23.1,57.0,87,0,3.6,RO,1603736085
Husavik,66.04,-17.34,37.4,69,75,6.93,IS,1603736086
La Vista,41.18,-96.03,30.2,54,75,8.05,US,1603735925
Aksu,41.12,80.26,46.99,47,61,3.29,CN,1603736088
Cayenne,4.93,-52.33,89.6,55,25,11.41,GF,1603736089
Sarakhs,36.54,61.16,60.8,29,0,1.14,IR,1603736090
Lethem,3.38,-59.8,95.18,40,71,8.03,GY,1603736092
Kapoeta,4.77,33.59,83.28,49,51,6.76,SS,1603736093
Margate,51.38,1.39,51.01,78,34,1.99,GB,1603736094
Acapulco de Juárez,16.86,-99.89,84.2,79,90,4.81,MX,1603735911
Yangjiang,21.85,111.97,70.41,86,71,3.62,CN,1603736044
Jieshi,22.81,115.83,71.65,79,82,16.69,CN,1603736098
Boyolangu,-8.12,111.89,76.01,89,100,5.64,ID,1603736101
Dmitriyevka,54.75,55.33,33.8,74,75,20.13,RU,1603736103
Boissevain,49.23,-100.06,19.4,62,1,19.46,CA,1603735827
Gravelbourg,49.88,-106.55,23.67,91,97,10.76,CA,1603736106
Brae,60.4,-1.35,48.2,93,75,4.7,GB,1603736107
Tulsīpur,28.13,82.3,63.03,51,0,4.99,NP,1603736109
Paamiut,61.99,-49.67,32.47,91,100,31.74,GL,1603736110
Cuamba,-14.8,36.54,79.16,47,95,4.16,MZ,1603736111
Sopron,47.69,16.59,57.0,76,0,11.41,HU,1603736113
Houma,29.6,-90.72,81.0,61,75,6.93,US,1603736114
Alta Floresta,-9.88,-56.09,90.14,48,91,2.71,BR,1603736116
Pierre,44.37,-100.35,10.4,72,1,8.05,US,1603735926
Adrar,20.5,-10.07,93.88,10,0,7.11,MR,1603736118
Cockburn Town,21.46,-71.14,83.41,79,92,18.34,TC,1603736119
Maragogi,-9.01,-35.22,81.23,70,24,16.4,BR,1603736121
Harper,4.38,-7.72,78.76,87,72,7.45,LR,1603736122
Pemangkat,1.17,108.97,77.11,86,100,6.85,ID,1603736123
Rafsanjān,30.41,55.99,55.24,38,0,1.77,IR,1603735922
Port-Cartier,50.03,-66.87,34.0,77,90,4.7,CA,1603736126
Gallup,35.53,-108.74,28.4,86,90,10.29,US,1603735921
Wanning,18.8,110.4,73.22,83,68,11.61,CN,1603736128
High Rock,26.62,-78.28,84.2,83,40,9.17,BS,1603736130
Bambanglipuro,-7.95,110.28,76.89,87,100,5.95,ID,1603736131
Siuna,13.73,-84.78,82.13,86,100,2.21,NI,1603736132
Riverton,40.52,-111.94,32.0,32,0,5.99,US,1603736134
Doha,25.29,51.53,84.2,61,0,2.24,QA,1603736038
Kaeo,-35.1,173.78,57.99,96,34,2.19,NZ,1603736136
Nanortalik,60.14,-45.24,36.3,83,100,6.51,GL,1603736137
Hofn,64.25,-15.21,37.4,59,0,11.41,IS,1603736138
Santa Maria da Vitória,-13.39,-44.19,91.47,40,55,8.03,BR,1603736139
Karaton,-6.34,106.1,78.01,88,20,4.7,ID,1603736141
Tarbagatay,51.48,107.36,14.0,78,39,2.24,RU,1603736142
Diffa,13.32,12.61,83.75,16,13,7.67,NE,1603736143
Kisangani,0.52,25.2,77.09,71,80,1.97,CD,1603736145
Krutinka,56.01,71.51,45.16,89,100,17.69,RU,1603736146
Cassilândia,-19.11,-51.73,88.92,48,97,6.38,BR,1603736147
Lata,40.16,-8.33,57.99,81,66,3.2,PT,1603736148
Nyaunglebin,17.95,96.73,75.13,94,38,1.14,MM,1603736149
Nhulunbuy,-12.23,136.77,78.8,83,40,4.7,AU,1603736121
Timrå,62.49,17.33,45.0,100,20,4.7,SE,1603736152
Vangaindrano,-23.35,47.6,70.07,82,0,5.26,MG,1603736153
Verkhovazh'ye,60.75,42.05,30.07,95,69,6.13,RU,1603736154
Antsohihy,-14.88,47.99,78.94,69,18,2.04,MG,1603736155
